City Name,Zone Name,Ward Name,Ward No,Total no of Households
Lucknow,Zone  4,CHINHAT I  WARD,35,11500
Lucknow,Zone  5,GURU GOVIND SINGH WARD,36,2220
Lucknow,Zone  5,KANHAIYA MADHOPUR I WARD,37,5352
Lucknow,Zone  8,VIDYAWATI II WARD,38,6691
Lucknow,Zone  4,OM NAGAR WARD,39,4787
Lucknow,Zone  3,JAI SHANKAR PRASAD WARD,40,4912
Lucknow,Zone  4,COLVIN COLLEGE NISHATGANJ WARD,41,3091
Lucknow,Zone  1,RANI LAXMI BAI WARD,42,6000
Lucknow,Zone  3,FAIZULLAHGANJII WARD,43,5600
Lucknow,Zone  1,JAGDISH CHANDRA BOSE WARD,44,3600
Lucknow,Zone  4,RAFI AHMED KIDWAI WARD,45,7183
Lucknow,Zone  2,MOTI LAL NEHRU NAGAR CHANDRABHANU GUPTA WARD,46,5580
Lucknow,Zone  5,CHITRAGUPT NAGAR WARD,47,6114
Lucknow,Zone  4,BABU KUNJ BIHARI WARD,48,3304
Lucknow,Zone  4,CHINHAT II WARD,49,7486
Lucknow,Zone  8,KHARIKA I WARD,50,3100
Lucknow,Zone  3,AYODHYADAS II WARD,51,6195
Lucknow,Zone  7,ISMAILGANJ I WARD,52,4688
Lucknow,Zone  7,ISMAILGANJ II WARD,53,5596
Lucknow,Zone  3,FAIZULLAHGANJI WARD,54,5500
Lucknow,Zone  1,BABU BANARSI DAS WARD,55,4106
Lucknow,Zone  8,VIDYAWATI I WARD,56,5200
Lucknow,Zone  7,BABU JAGJEEVAN RAM WARD,57,5301
Lucknow,Zone  2,JAANKIPURAM  II WARD,58,7246
Lucknow,Zone  3,LALA LAJPAT RAI WARD,59,5301
Lucknow,Zone  4,GEETAPALLI WARD,60,5494
Lucknow,Zone  4,GOMTI NAGAR WARD,61,4461
Lucknow,Zone  3,MANKAMESHWAR WARD,62,3500
Lucknow,Zone  7,SHANKARPURVA III WARD,63,3502
Lucknow,Zone  8,VIDYAWATI III WARD,64,4940
Lucknow,Zone  3,BHARTENDU HARISHCHANDRA WARD,65,6650
Lucknow,Zone  1,MAHATMA GANDHI WARD,66,4534
Lucknow,Zone  3,MAHANAGAR WARD,67,5200
Lucknow,Zone  7,MAITHELI SHARAN GUPTA,68,5470
Lucknow,Zone  4,RAJEEV GANDHI I WARD,69,7572
Lucknow,Zone  2,KUWAR JYOTI PRASAD WARD,70,3501
Lucknow,Zone  2,LABOUR COLONY WARD,71,4965
Lucknow,Zone  3,TRIVENI NAGAR WARD,72,6460
Lucknow,Zone  3,FAIZULLAHGANJIII WARD,73,4500
Lucknow,Zone  2,HARDEEN RAI NAGAR WARD,74,5665
Lucknow,Zone  3,FAIZULLAHGANJIV WARD,75,3850
Lucknow,Zone  5,HAIDERGANJ  I WARD,76,5243
Lucknow,Zone  7,LOHIYA NAGAR WARD,77,6655
Lucknow,Zone  1,GOLAGANJ PEERJALEEL WARD,78,4925
Lucknow,Zone  6,MALLAHI TOLAI WARD,79,5361
Lucknow,Zone  3,KADAM RASOOL WARD,80,3704
Lucknow,Zone  2,RAJAJIPURAM WARD,81,4180
Lucknow,Zone  6,SHEETLA DEVI WARD,82,6868
Lucknow,Zone  2,RAJENDRA NAGAR WARD ,83,3269
Lucknow,Zone  1,BASHEERATGANJ GANESHGANJ WARD,84,3547
Lucknow,Zone  7,SHANKARPURVA I WARD,85,3670
Lucknow,Zone  7,INDRA NAGAR WARD,86,5104
Lucknow,Zone  6,MALLAHI TOLAII WARD,87,3735
Lucknow,Zone  1,YADUNATH SANYAAL WARD,88,2880
Lucknow,Zone  6,HUSSAINABAD WARD,89,3907
Lucknow,Zone  6,DAULATGANJ WARD,90,3450
Lucknow,Zone  7,LAL BAHADUR SHASTRI  II WARD,91,3957
Lucknow,Zone  1,NAZARBAGH WARD,92,3201
Lucknow,Zone  5,GADHIPEER KHAN WARD,93,5609
Lucknow,Zone  4,VIVEKANANDPURI WARD,94,5500
Lucknow,Zone  6,AACHARYA NARENDRA DEV WARD,95,3339
Lucknow,Zone  4,RAJEEV GANDHI II WARD,96,5933
Lucknow,Zone  6,AMBERGANJ WARD,97,4127
Lucknow,Zone  4,BEGUM HAZRAT MAHAL BAJRANG BALI WARD,98,4500
Lucknow,Zone  1,MAULVI GANJ WARD,99,3500
Lucknow,Zone  6,ASHARFABAD WARD,100,1905
Lucknow,Zone  6,MAULANA KALBE ABID I WARD,101,4001
Lucknow,Zone  1,MASHAQ GANJ WAZIRGANJ WARD,102,3302
Lucknow,Zone  7,KASHMIRI MOHALLA WARD,103,3988
Lucknow,Zone  2,YAHIYAGANJ NETA SUBHASH CHANDRA BOSE WARD,104,5795
Lucknow,Zone  2,RAJA BAZAR WARD,105,3497
Lucknow,Zone  3,AYODHYADAS I WARD,106,5200
Lucknow,Zone  6,BHAVANI GANJ WARD,107,3400
Lucknow,Zone  6,BAZAR KAALIJI CHOWK WARD,108,2673
Lucknow,Zone  4,ALIGANJ WARD,109,5100
Lucknow,Zone  6,MAULANA KALBE ABID II WARD,110,1979
