"id","year","country","type","quantity","amount","price"
810,"2022","Tanzania Rep","Non-Coking",0.09,101.81,11312.22
811,"2022","Ukraine","Coke",0.03,41.06,13686.67
812,"2022","United Arab Emirates","Coke",0.0,6.37,""
813,"2022","United Arab Emirates","Coking",0.23,342.42,14887.83
814,"2022","United Arab Emirates","Non-Coking",0.14,180.57,12897.86
815,"2022","United Kingdom","Coke",0.0,1.44,""
816,"2022","United Kingdom","Coking",0.01,29.08,29080.0
817,"2022","United Kingdom","Non-Coking",0.01,6.59,6590.0
818,"2022","United States Of America","Coke",0.0,0.07,""
819,"2022","United States Of America","Coking",3.85,7337.39,19058.16
820,"2022","United States Of America","Lignite",0.0,0.09,""
821,"2022","United States Of America","Non-Coking",10.52,9449.49,8982.4
822,"2022","Venezuela","Coke",0.0,0.44,""
823,"2022","Vietnam","Non-Coking",0.05,101.63,20326.0
824,"2023","Afghanistan","Non-Coking",0.0,0.34,""
825,"2023","Australia","Coke",0.34,1266.92,37262.35
826,"2023","Australia","Coking",30.1,84807.72,28175.32
827,"2023","Australia","Non-Coking",17.4,31361.33,18023.75
828,"2023","Austria","Coking",0.03,58.97,19656.67
829,"2023","Baharain Is","Coke",0.0,0.0,""
830,"2023","Baharain Is","Non-Coking",0.01,13.06,13060.0
831,"2023","Bangladesh","Non-Coking",0.0,0.0,""
832,"2023","Belgium","Coke",0.0,0.03,""
833,"2023","Belgium","Non-Coking",0.0,0.0,""
834,"2023","Bhutan","Coke",0.0,0.43,""
835,"2023","Botswana","Non-Coking",0.0,0.15,""
836,"2023","Canada","Coke",0.0,0.0,""
837,"2023","Canada","Coking",2.9,8394.62,28946.97
838,"2023","Canada","Non-Coking",0.0,0.0,""
839,"2023","Chile","Coke",0.01,27.47,27470.0
840,"2023","China","Coke",0.82,3214.16,39197.07
841,"2023","China","Coking",0.0,0.0,""
842,"2023","China","Lignite",0.0,0.0,""
843,"2023","China","Non-Coking",0.13,559.43,43033.08
844,"2023","Colombia","Coke",0.44,1333.65,30310.23
845,"2023","Colombia","Coking",0.01,30.46,30460.0
846,"2023","Colombia","Non-Coking",0.08,29.27,3658.75
847,"2023","Denmark","Coke",0.0,0.98,""
848,"2023","Estonia","Coke",0.0,2.03,""
849,"2023","France","Coke",0.0,0.01,""
850,"2023","Germany","Coke",0.0,0.38,""
851,"2023","Germany","Coking",0.0,0.0,""
852,"2023","Germany","Lignite",0.0,0.0,""
853,"2023","Germany","Non-Coking",0.08,75.4,9425.0
854,"2023","Hong Kong","Coke",0.0,0.0,""
855,"2023","Hong Kong","Lignite",0.0,0.0,""
856,"2023","Hong Kong","Non-Coking",0.03,62.87,20956.67
857,"2023","Indonesia","Coke",0.26,964.13,37081.92
858,"2023","Indonesia","Coking",2.23,5542.78,24855.52
859,"2023","Indonesia","Lignite",0.0,0.0,""
860,"2023","Indonesia","Non-Coking",107.59,109682.49,10194.49
861,"2023","Ireland","Coke",0.0,0.0,""
862,"2023","Japan","Coke",0.33,1273.82,38600.61
863,"2023","Kazakhstan","Non-Coking",0.0,0.0,""
864,"2023","Latvia","Coke",0.01,20.61,20610.0
865,"2023","Latvia","Coking",0.07,104.01,14858.57
866,"2023","Latvia","Non-Coking",0.21,539.04,25668.57
867,"2023","Lithuania","Coke",0.0,5.13,""
868,"2023","Malaysia","Coking",0.0,0.0,""
869,"2023","Mozambique","Coking",2.08,5181.18,24909.52
870,"2023","Mozambique","Non-Coking",7.09,9245.59,13040.32
871,"2023","Netherlands","Coke",0.0,0.0,""
872,"2023","Netherlands","Non-Coking",0.0,0.15,""
873,"2023","New Zealand","Coking",0.29,712.93,24583.79
874,"2023","New Zealand","Non-Coking",0.02,35.28,17640.0
875,"2023","Oman","Coke",0.01,35.99,35990.0
876,"2023","Peru","Non-Coking",0.05,96.69,19338.0
877,"2023","Philippines","Non-Coking",0.07,83.81,11972.86
878,"2023","Poland","Coke",0.86,3522.38,40957.91
879,"2023","Poland","Lignite",0.0,0.0,""
880,"2023","Qatar","Coke",0.0,4.32,""
881,"2023","Russia","Coke",0.09,330.49,36721.11
882,"2023","Russia","Coking",4.48,9329.14,20823.97
883,"2023","Russia","Non-Coking",16.86,29259.27,17354.25
884,"2023","Saudi Arabia","Coke",0.0,0.32,""
885,"2023","Serbia","Coke",0.0,0.0,""
886,"2023","Singapore","Coke",0.2,697.63,34881.5
887,"2023","Singapore","Coking",5.4,15438.79,28590.35
888,"2023","Singapore","Non-Coking",4.67,6975.94,14937.77
889,"2023","South Africa","Coke",0.0,0.87,""
890,"2023","South Africa","Non-Coking",17.45,27746.05,15900.32
891,"2023","South Korea","Coke",0.0,0.0,""
892,"2023","Spain","Coke",0.0,0.23,""
893,"2023","Switzerland","Coke",0.21,727.43,34639.52
894,"2023","Switzerland","Coking",0.42,1251.71,29802.62
895,"2023","Switzerland","Non-Coking",1.21,1256.33,10382.89
896,"2023","Taiwan","Non-Coking",0.31,428.9,13835.48
897,"2023","Tanzania Rep","Non-Coking",0.03,65.1,21700.0
898,"2023","Turkey","Non-Coking",0.01,27.93,27930.0
899,"2023","Ukraine","Coke",0.0,0.0,""
900,"2023","United Arab Emirates","Coke",0.05,142.67,28534.0
901,"2023","United Arab Emirates","Coking",0.66,1502.16,22760.0
902,"2023","United Arab Emirates","Non-Coking",1.85,3189.36,17239.78
903,"2023","United Kingdom","Coke",0.0,1.73,""
904,"2023","United Kingdom","Coking",0.1,348.01,34801.0
905,"2023","United Kingdom","Non-Coking",0.02,38.74,19370.0
906,"2023","United States Of America","Coke",0.0,0.02,""
907,"2023","United States Of America","Coking",7.27,21137.48,29074.94
908,"2023","United States Of America","Lignite",0.0,0.0,""
909,"2023","United States Of America","Non-Coking",6.42,8921.79,13896.87
910,"2023","Unspecified","Coke",0.0,1.2,""
911,"2023","Venezuela","Coke",0.0,0.0,""
912,"2023","Vietnam","Non-Coking",0.01,50.08,50080.0
