"id","year","state_name","state_code","residence_type","households_with_loom","households_without_loom","households_with_pitloom_with_dobby_jacquard","households_with_other_pitlooms","households_with_framelooms_with_dobby_jacquard","households_with_other_frame_looms","households_with_loin_looms","households_with_other_looms","non_commercial_handloom_household","households_handloom_as_occupation_and_income","households_handloom_for_dmstc_and_cmrcl_purpose","households_weaving_dhoti_sarong_lungi_angavastram","households_weaving_saree","households_weaving_dress_material_suiting_shirting","households_weaving_towel_napkin_duster_gamcha","households_weaving_bedsheet_furnishings_blanket","households_weaving_shawls_mekhla_chadder","households_weaving_durries_rugs_mats","households_weaving_others","avg_prod_major_fabric_per_weaver_per_day"
47,"2019-2020","Nagaland","13","Rural",26833.0,1732.0,2790.0,557.0,880.0,752.0,48120.0,8288.0,18735.0,4631.0,3467.0,5148.0,51.0,458.0,485.0,570.0,22902.0,148.0,338.0,3.0
48,"2019-2020","Nagaland","13","Urban",5467.0,1633.0,1172.0,246.0,236.0,272.0,4861.0,1189.0,4010.0,1394.0,63.0,281.0,5.0,119.0,120.0,31.0,6432.0,24.0,205.0,4.0
49,"2019-2020","Odisha","21","Rural",42690.0,2763.0,25505.0,4507.0,8581.0,7937.0,0.0,71.0,0.0,42690.0,0.0,3624.0,37424.0,1493.0,2801.0,186.0,291.0,35.0,625.0,5.0
50,"2019-2020","Odisha","21","Urban",1245.0,10.0,678.0,62.0,184.0,98.0,0.0,2.0,0.0,1245.0,0.0,86.0,1083.0,7.0,80.0,0.0,1.0,0.0,7.0,4.0
51,"2019-2020","Puducherry","34","Rural",67.0,98.0,58.0,0.0,2.0,7.0,0.0,0.0,0.0,67.0,0.0,28.0,113.0,2.0,21.0,2.0,0.0,0.0,1.0,4.0
52,"2019-2020","Puducherry","34","Urban",29.0,692.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,692.0,74.0,0.0,70.0,0.0,0.0,0.0,0.0,8.0
53,"2019-2020","Punjab","03","Rural",88.0,13.0,0.0,0.0,1.0,133.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,16.0,83.0,1.0,2.0,15.0
54,"2019-2020","Punjab","03","Urban",367.0,158.0,18.0,36.0,67.0,360.0,0.0,29.0,0.0,367.0,0.0,4.0,1.0,3.0,71.0,153.0,143.0,180.0,22.0,23.0
55,"2019-2020","Rajasthan","08","Rural",3521.0,1710.0,275.0,1286.0,6.0,878.0,0.0,1300.0,0.0,3521.0,0.0,292.0,1562.0,350.0,253.0,113.0,560.0,2415.0,898.0,25.0
56,"2019-2020","Rajasthan","08","Urban",1626.0,1052.0,124.0,731.0,12.0,190.0,0.0,647.0,0.0,1626.0,0.0,115.0,1439.0,115.0,99.0,112.0,40.0,895.0,568.0,16.0
