"id","year","state","state_code","residence_type","non_hh_in_company","non_hh_in_cooperativ_society","non_hh_under_govt_or_corporation","non_hh_under_producer_group","non_hh_under_others_entities","non_hh_pitloom_with_dobby_jacquard","non_hh_frameloom_with_dobby_jacquard","non_hh_with_other_framelooms","non_hh_working_with_loinlooms","non_hh_working_with_other_looms","non_hh_prod_dhoti_sarong_lungi_angavastram","non_hh_prod_fabric_saree","non_hh_prod_dress_material","non_hh_prod_towel_napkin_duster_gamcha","non_hh_prod_bedsheet_furnishings_blanket","non_hh_prod_shawls_mekhla_chadder_loi_stole","non_hh_prod_durries_rugs_mats","non_hh_prod_other_major_fabrics","non_hh_usage_cotton_1_to_20","non_hh_usage_cotton_21_to_40","non_hh_usage_cotton_41_to_80","non_hh_usage_cotton_above_80","non_hh_usage_viscose_blends","non_hh_usage_muga_silk","non_hh_usage_eric_silk","non_hh_usage_mulberry_silk","non_hh_usage_tussar_silk","non_hh_usage_linen","non_hh_usage_wool","non_hh_usage_acrylic_wool","non_hh_usage_polyester_blends","non_hh_usage_jute","non_hh_usage_zari","non_hh_usage_other_type_of_yarns","non_hh_input_hank_yarn_in_open_market","non_hh_input_hank_yarn_master_weavers_group","non_hh_input_hank_yarn_cooperative_society","non_hh_input_hank_yarn_nhdc","non_hh_input_hank_yarn_khadi_n_vlg_indust","non_hh_input_other_types_of_hank_yarn","non_hh_input_dyes_chemicals_open_market","non_hh_input_dyes_chemicals_master_weavers_group","non_hh_input_dyes_chemicals_cooperative_society","non_hh_input_dyes_chemicals_nhdc","non_hh_input_dyes_chemicals_khadi_vlg_indust","non_hh_input_dyes_chemicals_other_types","non_hh_input_dyed_yarn_open_market","non_hh_input_dyed_yarn_master_weavers_group","non_hh_input_dyed_yarn_cooperative_society","non_hh_input_dyed_yarn_nhdc","non_hh_input_dyed_yarn_khadi_village_industries","non_hh_input_dyed_yarn_other_types","non_hh_sales_local_market","non_hh_sales_master_weaver_group","non_hh_sales_cooperative_society","non_hh_sales_organized_fairs_exhibition","non_hh_sales_export","non_hh_sales_ecommerce","non_hh_sales_other_sources"
10,"2019-2020","Chandigarh","04","Rural","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11,"2019-2020","Chandigarh","04","Urban","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12,"2019-2020","Chhattisgarh","22","Rural",1.0,6.0,5.0,0.0,0.0,0.0,0.0,124.0,0.0,101.0,1.0,0.0,12.0,1.0,5.0,2.0,3.0,0.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,8.0
13,"2019-2020","Chhattisgarh","22","Urban",0.0,3.0,2.0,0.0,0.0,0.0,0.0,92.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0
14,"2019-2020","Delhi","07","Rural",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"2019-2020","Delhi","07","Urban",0.0,207.0,0.0,0.0,0.0,0.0,6.0,1380.0,0.0,6.0,1.0,0.0,2.0,1.0,38.0,56.0,69.0,58.0,207.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,1.0,1.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,9.0,0.0,0.0,207.0,0.0,0.0,132.0,7.0,1.0,20.0
16,"2019-2020","Goa","30","Rural",0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0
17,"2019-2020","Goa","30","Urban",0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
18,"2019-2020","Gujarat","24","Rural",1.0,6.0,1.0,0.0,1.0,0.0,77.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0
19,"2019-2020","Gujarat","24","Urban",0.0,3.0,1.0,1.0,0.0,7.0,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0
20,"2019-2020","Haryana","06","Rural",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"2019-2020","Haryana","06","Urban",90.0,9.0,1.0,23.0,28.0,462.0,221.0,7261.0,0.0,805.0,2.0,3.0,0.0,7.0,48.0,28.0,125.0,24.0,125.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,131.0,13.0,4.0,55.0,28.0,3.0,8.0,2.0,1.0,1.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,7.0,121.0,0.0,0.0,77.0,72.0,52.0,42.0
22,"2019-2020","Himachal Pradesh","02","Rural",0.0,19.0,1.0,1.0,0.0,0.0,64.0,297.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,20.0,4.0,8.0,0.0,"",0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,18.0,7.0,3.0,8.0
23,"2019-2020","Himachal Pradesh","02","Urban",0.0,4.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"2019-2020","Jammu and Kashmir","01","Rural",0.0,4.883465853,0.976693171,1.953386341,0.0,1.953386341,0.976693171,4.883465853,0.0,14.65039756,0.976693171,0.0,0.0,"",4.883465853,"",0.0,"",2.930079512,"",0.0,0.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25,"2019-2020","Jammu and Kashmir","01","Urban",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,"",0.0,"",0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"2019-2020","Jharkhand","20","Rural",8.0,37.0,60.0,12.0,0.0,254.0,168.0,492.0,0.0,46.0,76.0,57.0,57.0,17.0,41.0,6.0,4.0,2.0,54.0,48.0,24.0,31.0,13.0,10.0,6.0,8.0,10.0,6.0,10.0,4.0,2.0,5.0,10.0,2.0,15.0,11.0,19.0,6.0,2.0,2.0,17.0,7.0,14.0,56.0,2.0,1.0,12.0,9.0,33.0,19.0,3.0,1.0,66.0,0.0,0.0,56.0,5.0,4.0,25.0
27,"2019-2020","Jharkhand","20","Urban",0.0,16.0,20.0,3.0,0.0,28.0,47.0,147.0,0.0,21.0,30.0,8.0,9.0,4.0,18.0,4.0,0.0,0.0,7.0,10.0,4.0,21.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,3.0,2.0,6.0,21.0,0.0,0.0,0.0,3.0,9.0,4.0,0.0,0.0,11.0,0.0,0.0,13.0,1.0,0.0,25.0
28,"2019-2020","Karnataka","29","Rural",0.0,61.0,2.0,0.0,0.0,98.0,144.0,828.0,0.0,384.0,9.0,13.0,8.0,35.0,25.0,5.0,1.0,3.0,3.0,15.0,21.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,13.0,5.0,0.0,0.0,10.0,1.0,39.0,0.0,19.0,8.0,7.0,1.0,4.0,0.0,2.0,1.0,2.0,0.0,21.0,0.0,4.0,7.0,3.0,1.0,52.0,0.0,0.0,33.0,14.0,2.0,28.0
29,"2019-2020","Karnataka","29","Urban",0.0,16.0,2.0,0.0,0.0,232.0,30.0,59.0,0.0,12.0,0.0,14.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,1.0,1.0,0.0,12.0,0.0,9.0,0.0,3.0,8.0,1.0,3.0,6.0,0.0,1.0,1.0,0.0,3.0,11.0,0.0,2.0,3.0,0.0,3.0,14.0,0.0,0.0,9.0,4.0,0.0,9.0
30,"2019-2020","Kerala","32","Rural",3.0,263.0,1.0,1.0,3.0,53.0,31.0,7615.0,0.0,702.0,207.0,86.0,104.0,35.0,46.0,0.0,5.0,21.0,47.0,55.0,147.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,2.0,5.0,246.0,3.0,0.0,16.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,248.0,0.0,0.0,178.0,13.0,1.0,26.0
31,"2019-2020","Kerala","32","Urban",0.0,45.0,4.0,2.0,0.0,0.0,0.0,3730.0,0.0,528.0,9.0,1.0,14.0,2.0,5.0,0.0,1.0,31.0,2.0,8.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,31.0,0.0,2.0,35.0,1.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,22.0,7.0,1.0,23.0
32,"2019-2020","Ladakh","37","Rural",0.0,0.116534147,0.023306829,0.046613659,0.0,0.046613659,0.023306829,0.116534147,0.0,0.34960244,0.023306829,0.0,0.0,0.0,0.116534147,0.093227317,0.0,0.0,0.069920488,0.023306829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093227317,0.0,0.0,0.0,0.0,0.023306829,0.139840976,0.0,0.023306829,0.0,0.0,0.0,0.023306829,0.0,0.0,0.0,0.0,0.0,0.046613659,0.0,0.023306829,0.0,0.0,0.023306829,0.163147805,0.0,0.0,0.069920488,0.0,0.0,0.023306829
