"id","year","state","state_code","residence_type","non_hh_in_company","non_hh_in_cooperativ_society","non_hh_under_govt_or_corporation","non_hh_under_producer_group","non_hh_under_others_entities","non_hh_pitloom_with_dobby_jacquard","non_hh_frameloom_with_dobby_jacquard","non_hh_with_other_framelooms","non_hh_working_with_loinlooms","non_hh_working_with_other_looms","non_hh_prod_dhoti_sarong_lungi_angavastram","non_hh_prod_fabric_saree","non_hh_prod_dress_material","non_hh_prod_towel_napkin_duster_gamcha","non_hh_prod_bedsheet_furnishings_blanket","non_hh_prod_shawls_mekhla_chadder_loi_stole","non_hh_prod_durries_rugs_mats","non_hh_prod_other_major_fabrics","non_hh_usage_cotton_1_to_20","non_hh_usage_cotton_21_to_40","non_hh_usage_cotton_41_to_80","non_hh_usage_cotton_above_80","non_hh_usage_viscose_blends","non_hh_usage_muga_silk","non_hh_usage_eric_silk","non_hh_usage_mulberry_silk","non_hh_usage_tussar_silk","non_hh_usage_linen","non_hh_usage_wool","non_hh_usage_acrylic_wool","non_hh_usage_polyester_blends","non_hh_usage_jute","non_hh_usage_zari","non_hh_usage_other_type_of_yarns","non_hh_input_hank_yarn_in_open_market","non_hh_input_hank_yarn_master_weavers_group","non_hh_input_hank_yarn_cooperative_society","non_hh_input_hank_yarn_nhdc","non_hh_input_hank_yarn_khadi_n_vlg_indust","non_hh_input_other_types_of_hank_yarn","non_hh_input_dyes_chemicals_open_market","non_hh_input_dyes_chemicals_master_weavers_group","non_hh_input_dyes_chemicals_cooperative_society","non_hh_input_dyes_chemicals_nhdc","non_hh_input_dyes_chemicals_khadi_vlg_indust","non_hh_input_dyes_chemicals_other_types","non_hh_input_dyed_yarn_open_market","non_hh_input_dyed_yarn_master_weavers_group","non_hh_input_dyed_yarn_cooperative_society","non_hh_input_dyed_yarn_nhdc","non_hh_input_dyed_yarn_khadi_village_industries","non_hh_input_dyed_yarn_other_types","non_hh_sales_local_market","non_hh_sales_master_weaver_group","non_hh_sales_cooperative_society","non_hh_sales_organized_fairs_exhibition","non_hh_sales_export","non_hh_sales_ecommerce","non_hh_sales_other_sources"
43,"2019-2020","Meghalaya","17","Urban",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"2019-2020","Mizoram","15","Rural",1.0,6.0,7.0,5.0,1.0,10.0,110.0,3.0,53.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,3.0,1.0,12.0
45,"2019-2020","Mizoram","15","Urban",3.0,23.0,3.0,3.0,3.0,361.0,245.0,110.0,3.0,34.0,31.0,0.0,3.0,0.0,0.0,4.0,0.0,3.0,6.0,14.0,1.0,1.0,0.0,3.0,2.0,3.0,1.0,0.0,3.0,4.0,2.0,0.0,0.0,13.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,5.0,1.0,0.0,1.0,33.0,0.0,0.0,15.0,3.0,0.0,5.0
46,"2019-2020","Nagaland","13","Rural",0.0,573.0,27.0,1.0,2.0,104.0,49.0,40.0,491.0,4.0,0.0,0.0,1.0,9.0,578.0,501.0,441.0,4.0,585.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,579.0,591.0,8.0,0.0,0.0,2.0,584.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,1.0,1.0,0.0,1.0,601.0,0.0,0.0,9.0,15.0,6.0,3.0
47,"2019-2020","Nagaland","13","Urban",1.0,4.0,21.0,1.0,11.0,9.0,3.0,5.0,8.0,6.0,0.0,0.0,8.0,14.0,21.0,37.0,2.0,13.0,25.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,8.0,9.0,35.0,6.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,27.0,25.0,4.0,30.0
48,"2019-2020","Odisha","21","Rural",2.0,31.0,0.0,11.0,0.0,3.0,172.0,359.0,0.0,0.0,8.0,29.0,12.0,10.0,3.0,4.0,0.0,0.0,5.0,14.0,6.0,16.0,7.0,2.0,0.0,0.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,16.0,8.0,0.0,1.0,17.0,0.0,4.0,5.0,0.0,0.0,8.0,1.0,14.0,9.0,0.0,0.0,26.0,0.0,0.0,31.0,4.0,0.0,20.0
49,"2019-2020","Odisha","21","Urban",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"2019-2020","Puducherry","34","Rural",0.0,3.0,0.0,0.0,0.0,40.0,0.0,23.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
51,"2019-2020","Puducherry","34","Urban",0.0,10.0,0.0,0.0,0.0,762.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,9.0,6.0,0.0,0.0,1.0,10.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,8.0,2.0
52,"2019-2020","Punjab","03","Rural",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"2019-2020","Punjab","03","Urban",2.0,3.0,1.0,0.0,0.0,25.0,13.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0
54,"2019-2020","Rajasthan","08","Rural",3.0,19.0,4.0,7.0,5.0,115.0,1.0,169.0,0.0,57.0,2.0,3.0,11.0,2.0,4.0,7.0,25.0,2.0,18.0,14.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,11.0,1.0,0.0,12.0,2.0,2.0,21.0,2.0,7.0,1.0,5.0,1.0,8.0,3.0,1.0,0.0,0.0,0.0,22.0,7.0,2.0,0.0,1.0,1.0,30.0,0.0,0.0,13.0,6.0,1.0,7.0
55,"2019-2020","Rajasthan","08","Urban",0.0,9.0,4.0,0.0,0.0,0.0,6.0,34.0,0.0,4.0,3.0,0.0,1.0,5.0,7.0,2.0,7.0,1.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,8.0,5.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0
56,"2019-2020","Sikkim","11","Rural",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
57,"2019-2020","Sikkim","11","Urban",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
58,"2019-2020","Tamil Nadu","33","Rural",28.0,458.0,0.0,102.0,19.0,8150.0,7.0,2868.0,0.0,4608.0,127.0,386.0,0.0,15.0,25.0,8.0,3.0,66.0,71.0,130.0,142.0,41.0,0.0,108.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,60.0,54.0,80.0,309.0,26.0,0.0,59.0,33.0,33.0,37.0,0.0,0.0,1.0,31.0,0.0,48.0,1.0,0.0,0.0,335.0,0.0,0.0,86.0,3.0,1.0,236.0
59,"2019-2020","Tamil Nadu","33","Urban",19.0,144.0,2.0,12.0,17.0,1355.0,0.0,2135.0,0.0,2652.0,7.0,45.0,0.0,74.0,30.0,2.0,2.0,41.0,60.0,82.0,2.0,8.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,59.0,11.0,9.0,89.0,21.0,0.0,39.0,1.0,17.0,7.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,79.0,0.0,0.0,23.0,0.0,0.0,117.0
60,"2019-2020","Telangana","36","Rural",0.0,76.0,0.0,3.0,0.0,11.0,95.0,2050.0,0.0,110.0,4.0,1.0,53.0,5.0,34.0,1.0,11.0,7.0,14.0,27.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,13.0,0.0,0.0,2.0,2.0,1.0,24.0,16.0,20.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,11.0,6.0,0.0,0.0,34.0,0.0,0.0,15.0,21.0,1.0,44.0
61,"2019-2020","Telangana","36","Urban",0.0,23.0,2.0,1.0,0.0,602.0,173.0,979.0,0.0,0.0,5.0,3.0,9.0,5.0,15.0,0.0,1.0,0.0,5.0,11.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,9.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,7.0,0.0,0.0,9.0,10.0,1.0,15.0
62,"2019-2020","The Dadra and Nagar Haveli and Daman And Diu","38","Rural","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
63,"2019-2020","The Dadra and Nagar Haveli and Daman And Diu","38","Urban","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
64,"2019-2020","Tripura","16","Rural",2.0,22.0,5.0,0.0,1.0,16.0,0.0,212.0,16.0,33.0,17.0,2.0,1.0,9.0,2.0,1.0,3.0,8.0,26.0,7.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,13.0,3.0,4.0,0.0,1.0,5.0,17.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,14.0,0.0,1.0,2.0,0.0,7.0,27.0,0.0,0.0,2.0,0.0,0.0,6.0
65,"2019-2020","Tripura","16","Urban",0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
66,"2019-2020","Uttar Pradesh","09","Rural",14.0,159.0,20.0,17.0,43.0,7399.0,799.0,1613.0,0.0,64.0,45.0,41.0,17.0,21.0,42.0,30.0,112.0,16.0,94.0,154.0,32.0,22.0,12.0,28.0,12.0,4.0,4.0,0.0,25.0,0.0,1.0,7.0,6.0,7.0,145.0,38.0,20.0,19.0,1.0,1.0,30.0,14.0,6.0,4.0,1.0,1.0,75.0,23.0,29.0,4.0,0.0,3.0,235.0,0.0,0.0,141.0,3.0,0.0,24.0
67,"2019-2020","Uttar Pradesh","09","Urban",8.0,151.0,4.0,0.0,16.0,1254.0,50.0,899.0,0.0,153.0,34.0,23.0,22.0,35.0,21.0,18.0,82.0,9.0,36.0,108.0,51.0,6.0,8.0,5.0,2.0,10.0,5.0,2.0,13.0,7.0,1.0,2.0,5.0,7.0,120.0,7.0,32.0,14.0,0.0,12.0,51.0,9.0,20.0,4.0,0.0,10.0,86.0,8.0,28.0,4.0,0.0,12.0,168.0,0.0,0.0,73.0,7.0,4.0,57.0
68,"2019-2020","Uttarakhand","05","Rural",4.0,18.0,0.0,1.0,9.0,1.0,4.0,327.0,0.0,50.0,0.0,2.0,1.0,1.0,14.0,28.0,10.0,2.0,14.0,15.0,6.0,4.0,0.0,0.0,1.0,1.0,3.0,0.0,23.0,8.0,0.0,1.0,0.0,0.0,23.0,1.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,22.0,2.0,0.0,7.0
69,"2019-2020","Uttarakhand","05","Urban",1.0,23.0,0.0,0.0,0.0,0.0,0.0,655.0,0.0,25.0,2.0,0.0,0.0,2.0,8.0,20.0,12.0,0.0,4.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,6.0,1.0,1.0,0.0
70,"2019-2020","West Bengal","19","Rural",4.0,76.0,66.0,2.0,16.0,3374.0,315.0,166.0,3.0,413.0,5.0,151.0,5.0,7.0,1.0,8.0,1.0,91.0,6.0,7.0,82.0,54.0,0.0,4.0,4.0,0.0,3.0,3.0,19.0,1.0,1.0,1.0,7.0,11.0,9.0,1.0,0.0,6.0,0.0,0.0,16.0,1.0,2.0,1.0,0.0,1.0,47.0,61.0,30.0,14.0,0.0,16.0,73.0,0.0,0.0,34.0,15.0,9.0,80.0
71,"2019-2020","West Bengal","19","Urban",1.0,3.0,2.0,0.0,0.0,20.0,31.0,270.0,0.0,70.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0
